ea_name,ea_team,ea_position,ea_ovr,ea_school_year,matched_player_name,matched_player_id,match_confidence,cfo_position,cfo_valuation,depth_chart_rank,production_score
Aneyas Williams,Notre Dame,HB,83,Sophomore,Aneyas Williams,b2473eba-3dbb-4f0f-8e3f-5f6e6ae49f37,1.0,RB,380794,1,72.4
Jason Onye,Notre Dame,DT,83,Senior,Jason Onye,ea8efce5-9c18-431f-8c23-31ec7134408e,1.0,DL,439708,1,78.1
Jaylen Sneed,Notre Dame,WILL,83,Junior,Jaylen Sneed,70dd2e16-8ba2-46ea-ae66-8862b310827f,1.0,LB,381160,2,78.4
Jordan Botelho,Notre Dame,REDG,83,Senior,Jordan Botelho,034e3bef-3313-43c3-9db9-b98b1e532e1c,1.0,DL,,,67.3
Kyngstonn Viliamu-Asa,Notre Dame,MIKE,83,Sophomore,Kyngstonn Viliamu-Asa,d078bdc4-5248-48ad-a585-766ccac9baa1,1.0,LB,399733,2,93.1
Beau Atkinson,Ohio State,LEDG,83,Junior,Beau Atkinson,ed02efce-08c8-4851-addb-01f059c41630,1.0,DL,436419,2,65.9
C.J. Hicks,Ohio State,REDG,83,Senior,C.J. Hicks,0fb99292-0a91-4751-a307-841669920bc3,1.0,LB,,,46.6
Will Kacmarek,Ohio State,TE,83,Senior,Will Kacmarek,8b890a93-b704-4ceb-95f2-afd11d2faa5f,1.0,TE,,,78.6
Marvin Jones Jr.,Oklahoma,LEDG,83,Senior,Marvin Jones Jr.,19530389-795b-41fd-899e-ec233fb56537,1.0,DL,,,81.6
Devon Jackson,Oregon,WILL,83,Junior,Devon Jackson,196d839c-cdab-41a6-a2f7-0499a709cea2,1.0,LB,240624,1,48.6
Gary Bryant Jr.,Oregon,WR,83,Senior,Gary Bryant Jr.,edbb9b9d-9d4f-4c81-ad53-609e690ad539,1.0,WR,,,71.2
Brandon Cisse,South Carolina,CB,83,Junior,Brandon Cisse,22621723-9730-4598-af3d-680146409b6f,1.0,DB,,,71.0
David Sanders Jr.,Tennessee,RT,83,Freshman,David Sanders Jr.,8f93ebd2-dc24-4958-a1a2-88c522c0e40a,1.0,OL,405000,1,0.0
Jackson Ross,Tennessee,P,83,Junior,Jackson Ross,518925cc-eb82-435b-993c-51038b706c71,1.0,P,99000,1,0.0
Mike Matthews,Tennessee,WR,83,Sophomore,Mike Matthews,a9b2eae9-713a-4d77-ae23-e753338272ad,1.0,WR,576000,1,89.7
Cole Brevard,Texas,DT,83,Senior,Cole Brevard,35394ea5-39d0-4bb3-91cd-9b7cb0cd681a,1.0,DL,,,63.7
Jerrick Gibson,Texas,HB,83,Sophomore,Jerrick Gibson,2e5dd15d-bfe4-4aaf-88e4-6e9d20998ec7,1.0,RB,,,40.4
Mason Shipley,Texas,K,83,Senior,Mason Shipley,b64b4f9c-81d1-4768-a029-6b4c693b4e4c,1.0,PK,,,0.0
Parker Livingstone,Texas,WR,83,Freshman,Parker Livingstone,e3248bfc-31f4-41f5-8bff-3b65e811e868,1.0,WR,,,85.3
DJ Harvey,USC,CB,83,Senior,DJ Harvey,0c3a1e7a-d20d-465f-9593-8658f41400eb,1.0,CB,,,48.3
Keeshawn Silver,USC,DT,83,Senior,Keeshawn Silver,359015a5-d5fe-4cb5-97ba-9e98464465cb,1.0,DT,,,68.1
Carver Willis,Washington,LT,83,Senior,Carver Willis,3b398a95-141a-47d9-9bac-b734a6e1ddd6,1.0,OL,,,0.0
Amare Adams,Clemson,DT,82,Freshman,Amare Adams,5c9692f2-a5cd-4cca-8b52-b12bfb5dbe4c,1.0,DT,261292,1,35.5
Jeadyn Lukus,Clemson,CB,82,Senior,Jeadyn Lukus,72b3ed10-839b-442e-aa9e-930a7083d061,1.0,CB,,,42.0
Tristan Smith,Clemson,WR,82,Senior,Tristan Smith,e068bdeb-4d29-46de-ab87-787e5cad3566,1.0,WR,,,60.0
Vic Burley,Clemson,DT,82,Sophomore,Vic Burley,07c43413-379e-40d1-a1a6-ee73e3e63420,1.0,DT,473120,1,58.8
Dallas Wilson,Florida,WR,82,Freshman,Dallas Wilson,3019477d-9177-4cdb-817a-d040278e5e9b,1.0,WR,493381,1,62.3
Myles Graham,Florida,WILL,82,Sophomore,Myles Graham,83b66d79-727d-4623-897e-da7401fa7543,1.0,LB,472515,1,94.6
Trey Smack,Florida,K,82,Senior,Trey Smack,9b5e5e81-ec10-4b74-bbd3-16a7df1b2e49,1.0,PK,,,0.0
Elo Modozie,Georgia,REDG,82,Sophomore,Elo Modozie,ea343bcc-a0ad-4391-93ed-7b506f0e9255,1.0,LB,,,37.8
Josh McCray,Georgia,HB,82,Senior,Josh McCray,fa92abbc-d041-4aad-a5d9-96ec6e28212b,1.0,RB,,,46.3
London Humphreys,Georgia,WR,82,Junior,London Humphreys,e313d6b6-633e-4c27-9c5e-91c82d9189e2,1.0,WR,559190,1,72.1
Xzavier McLeod,Georgia,DT,82,Sophomore,Xzavier McLeod,6d38bf93-e8ac-4f75-aeb6-913f8f1d5061,1.0,DL,423988,2,53.5
Bernard Gooden,LSU,DT,82,Senior,Bernard Gooden,518fbd07-14d4-4c88-bbff-4bec1a5fbeba,1.0,DL,,,72.2
Dashawn Spears,LSU,FS,82,Sophomore,Dashawn Spears,ef935ee0-2834-49c0-b5f8-2cbe62e73938,1.0,S,556627,1,84.7
Ja'Keem Jackson,LSU,CB,82,Sophomore,Ja'Keem Jackson,827674d1-2241-4c80-81cb-b3f185462f9e,1.0,CB,351928,2,36.8
Nic Anderson,LSU,WR,82,Junior,Nic Anderson,0c3a9c8e-00de-45dd-9cf0-b2a1e0665d85,1.0,WR,,,50.5
PJ Woodland,LSU,CB,82,Sophomore,PJ Woodland,3c3a4d29-89cd-49dd-925c-9bc691b04e59,1.0,CB,612521,1,85.5
Zavion Thomas,LSU,WR,82,Senior,Zavion Thomas,eacbf9cd-d10b-41cb-b516-35c3962a0835,1.0,WR,,,78.5
Alex Bauman,Miami,TE,82,Senior,Alex Bauman,f774f992-f076-4b2c-8bd0-3de3c62e32d2,1.0,TE,,,74.1
David Blay Jr.,Miami,DT,82,Senior,David Blay Jr.,88553a60-d75c-4222-a5e1-06f48a6d7ce7,1.0,DL,,,67.7
Jadais Richard,Miami,CB,82,Senior,Jadais Richard,53f62bdd-1a29-418c-b993-103cb7417514,1.0,DB,,,53.0
Joshisa Trader,Miami,WR,82,Sophomore,Joshisa Trader,0c493899-8767-49c8-8dcd-53144db14e60,1.0,WR,,,59.5
Mohamed Toure,Miami,WILL,82,Senior,Mohamed Toure,08d00a1d-f9aa-489b-a09b-a9b1bfec3513,1.0,LB,431051,1,93.1
Bryce Underwood,Michigan,QB,82,Freshman,Bryce Underwood,63a703ca-d56c-45f9-9c35-b2fffcaa8552,1.0,QB,3000000,1,74.1
Evan Link,Michigan,LT,82,Junior,Evan Link,d643c8ca-0a5a-4cd9-8f04-2f4f442243fa,1.0,OL,520504,1,0.0
Trey Pierce,Michigan,DT,82,Junior,Trey Pierce,c4d1a555-cb04-4c46-b83d-bdc19a3dece8,1.0,DL,360000,1,56.5
Donovan Hinish,Notre Dame,DT,82,Junior,Donovan Hinish,398db71b-a713-4d12-9fe6-a4cd14a5e30c,1.0,DL,,,62.4
Jared Dawson,Notre Dame,DT,82,Senior,Jared Dawson,90870490-a206-4a21-b234-a97afd46c3e1,1.0,DL,,,76.8
Junior Tuihalamaka,Notre Dame,REDG,82,Senior,Junior Tuihalamaka,d5d9a212-3049-4533-8dd9-0929983af79d,1.0,DL,,,75.5
Luke Talich,Notre Dame,FS,82,Junior,Luke Talich,29f5c7e5-d727-4ea7-a2e5-421dedb8274a,1.0,S,350000,2,68.6
Jelani Thurman,Ohio State,TE,82,Junior,Jelani Thurman,d42d0beb-b5dc-417c-b72f-0c7415e363ab,1.0,TE,,,61.1
Lincoln Kienholz,Ohio State,QB,82,Junior,Lincoln Kienholz,692a227f-bc61-4244-aacb-218db8168851,1.0,QB,,,58.7
Javonnie Gibson,Oklahoma,WR,82,Junior,JaVonnie Gibson,85907e6d-f852-4b29-8d1d-18fdc60ace14,1.0,WR,,,58.2
Jaydn Ott,Oklahoma,HB,82,Senior,Jaydn Ott,6c0b6544-6a62-4f43-b279-c0525a658ed0,1.0,RB,,,34.6
Jay Harris,Oregon,HB,82,Junior,Jay Harris,2d8b0b7c-e04f-40fb-9db4-65aa9e48d3c8,1.0,RB,,,54.5
Justius Lowe,Oregon,WR,82,Junior,Justius Lowe,83a36d7c-d474-4c94-b8e7-b48ae02767b1,1.0,WR,,,34.4
Vandrevius Jacobs,South Carolina,WR,82,Sophomore,Vandrevius Jacobs,947a32b5-de33-45d6-ac97-1cfdf646bc5f,1.0,WR,,,84.8
Dominic Bailey,Tennessee,LEDG,82,Senior,Dominic Bailey,da9c67dd-9bd6-4096-b1e5-3f3aa7b85fd1,1.0,DL,,,78.0
Jaxson Moi,Tennessee,DT,82,Senior,Jaxson Moi,983c0fe5-09a8-4aa0-aa1f-5c081c3f531f,1.0,DL,,,72.6
