drafttek_rank,drafttek_name,drafttek_school,drafttek_position,player_name,player_team,player_position,cfo_valuation,current_roster_status,current_draft_projection,is_override,class_year,match_confidence
84,Deion Burks,Oklahoma,WRS,Deion Burks,Oklahoma,WR,760320,departed_draft,88,False,5,1.0
87,Garrett Nussmeier,LSU,QB,Garrett Nussmeier,LSU,QB,1346400,departed_draft,82,False,5,1.05
90,A.J. Haulcy,LSU,S,A.J. Haulcy,LSU,S,346500,departed_draft,51,False,5,1.05
93,Jake Slaughter,Florida,OC,Jake Slaughter,Florida,OL,534600,departed_draft,98,False,5,1.0
98,Daylen Everette,Georgia,CB,Daylen Everette,Georgia,DB,237600,departed_draft,113,False,5,1.0
100,Carson Beck,Miami (FL),QB,Carson Beck,Miami,QB,1346400,departed_draft,94,False,5,1.05
102,Jonah Coleman,Washington,RB,Jonah Coleman,Washington,RB,617760,departed_draft,92,False,5,1.05
103,Anthony Lucas,USC,EDGE,Anthony Lucas,USC,DE,475200,departed_draft,103,False,5,1.0
104,Rayshaun Benny,Michigan,DL3T,Rayshaun Benny,Michigan,DL,518400,departed_draft,104,False,5,1.0
107,Ja'Kobi Lane,USC,WR,Ja'Kobi Lane,USC,WR,728640,departed_draft,95,False,4,1.05
108,Jaishawn Barham,Michigan,EDGE,Jaishawn Barham,Michigan,LB,504000,departed_draft,108,False,5,1.0
110,Markel Bell,Miami (FL),OT,Markel Bell,Miami,OL,84375,departed_draft,112,False,1,1.0
114,C.J. Daniels,Miami (FL),WR,CJ Daniels,Miami,WR,576000,departed_draft,116,False,5,1.05
115,Deontae Lawson,Alabama,ILB,Deontae Lawson,Alabama,LB,567836,departed_draft,117,False,5,1.0
117,Michael Taaffe,Texas,S,Michael Taaffe,Texas,DB,432000,departed_draft,119,False,,1.0
119,Billy Schrauth,Notre Dame,OG,Billy Schrauth,Notre Dame,OL,450000,departed_draft,121,False,5,1.0
120,Austin Barber,Florida,OT,Austin Barber,Florida,OL,216000,departed_draft,107,False,5,1.0
124,Tyreak Sapp,Florida,DL5T,Tyreak Sapp,Florida,EDGE,288000,departed_draft,125,False,5,1.0
125,Jalon Kilgore,South Carolina,S,Jalon Kilgore,South Carolina,DB,,departed_draft,999,False,3,1.0
129,L.T. Overton,Alabama,DL5T,LT Overton,Alabama,DL,570240,departed_draft,86,False,5,1.0
130,Harold Perkins Jr.,LSU,OLB,Harold Perkins Jr.,LSU,LB,504000,departed_draft,129,False,5,1.0
133,Oscar Delp,Georgia,TE,Oscar Delp,Georgia,TE,166320,active,999,False,5,1.05
134,Domani Jackson,Alabama,CB,Domani Jackson,Alabama,DB,108000,departed_draft,134,False,5,1.0
135,Devin Moore,Florida,CB,Devin Moore,Florida,DB,570240,departed_draft,93,False,5,1.0
136,Jack Endries,Texas,TE,Jack Endries,Texas,TE,462000,departed_draft,123,False,,1.05
137,Cade Klubnik,Clemson,QB,Cade Klubnik,Clemson,QB,1224000,departed_draft,137,False,5,1.05
138,Tim Keenan III,Alabama,DL1T,Tim Keenan III,Alabama,DL,432000,departed_draft,139,False,,1.0
139,Bryce Boettcher,Oregon,ILB,Bryce Boettcher,Oregon,LB,504000,departed_draft,141,False,5,1.0
148,Isaiah World,Oregon,OT,Isaiah World,Oregon,OL,121500,departed_draft,138,False,5,1.0
150,D.J. Campbell,Texas,OG,DJ Campbell,Texas,OL,620999,departed_draft,135,False,5,1.0
158,DeMonte Capehart,Clemson,DL3T,DeMonte Capehart,Clemson,DT,576000,departed_draft,160,False,5,1.0
160,Bishop Fitzgerald,USC,S,Bishop Fitzgerald,USC,S,504000,departed_draft,162,False,,1.05
161,Parker Brailsford,Alabama,OC,Parker Brailsford,Alabama,OL,121500,departed_draft,140,False,5,1.0
168,Micah Morris,Georgia,OG,Micah Morris,Georgia,OL,540000,departed_draft,166,False,5,1.0
170,Marlin Klein,Michigan,TE,Marlin Klein,Michigan,TE,475200,active,999,False,5,1.05
171,Lorenzo Styles Jr.,Ohio State,S,Lorenzo Styles Jr.,Ohio State,CB,297000,departed_draft,168,False,5,1.0
173,Eli Raridon,Notre Dame,TE,Eli Raridon,Notre Dame,TE,396000,departed_draft,151,False,5,1.05
176,Caden Curry,Ohio State,EDGE,Caden Curry,Ohio State,DE,1008000,departed_draft,170,False,5,1.0
178,Jaeden Roberts,Alabama,OG,Jaeden Roberts,Alabama,OL,540000,departed_draft,172,False,5,1.0
182,Ephesians Prysock,Washington,CB,Ephesians Prysock,Washington,CB,540000,active,999,False,5,1.05
188,Jimmy Rolder,Michigan,ILB,Jimmy Rolder,Michigan,LB,504000,active,999,False,5,1.0
197,Josh Cuevas,Alabama,TE,Josh Cuevas,Alabama,TE,508200,active,999,False,3,1.05
199,Aamil Wagner,Notre Dame,OT,Aamil Wagner,Notre Dame,OL,450000,active,999,False,5,1.0
202,Adam Randall,Clemson,RB,Adam Randall,Clemson,RB,468000,active,999,False,5,1.05
204,Aaron Anderson,LSU,WRS,Aaron Anderson,LSU,WR,576000,active,999,False,5,1.0
206,Patrick Payton,LSU,EDGE,Patrick Payton,LSU,DE,864000,active,999,False,5,1.0
208,Trey Moore,Texas,EDGE,Trey Moore,Texas,LB,277200,active,999,False,5,1.0
213,Colbie Young,Georgia,WR,Colbie Young,Georgia,WR,316800,active,999,False,5,1.05
216,Justin Jefferson,Alabama,ILB,Justin Jefferson,Alabama,LB,504000,active,999,False,5,1.0
218,Ethan Burke,Texas,EDGE,Ethan Burke,Texas,LB,178575,active,999,False,5,1.0
221,Owen Heinecke,Oklahoma,ILB,Owen Heinecke,Oklahoma,LB,420000,active,999,False,,1.0
222,Jaydn Ott,Oklahoma,RB,Jaydn Ott,Oklahoma,RB,81062,active,999,False,5,1.05
225,Zach Durfee,Washington,EDGE,Zach Durfee,Washington,EDGE,,active,999,False,,1.05
231,Bryson Eason,Tennessee,DL1T,Bryson Eason,Tennessee,DL,,active,999,False,4,1.0
232,Jakobe Thomas,Miami (FL),S,Jakobe Thomas,Miami,DB,504000,active,999,False,5,1.0
233,Anez Cooper,Miami (FL),OG,Anez Cooper,Miami,OL,450000,active,999,False,5,1.0
236,George Gumbs,Florida,EDGE,George Gumbs Jr.,Florida,EDGE,475200,active,999,False,5,0.939
238,Jam Miller,Alabama,RB,Jam Miller,Alabama,RB,468000,active,999,False,5,1.05
241,Noah Whittington,Oregon,RB,Noah Whittington,Oregon,RB,196560,active,999,False,5,1.05
244,Rahsul Faison,South Carolina,RB,Rahsul Faison,South Carolina,RB,,active,999,False,4,1.05
245,Eric Gentry,USC,OLB,Eric Gentry,USC,LB,504000,active,999,False,5,1.0
247,Zavion Thomas,LSU,WRS,Zavion Thomas,LSU,WR,691200,active,999,False,5,1.0
249,Kendal Daniels,Oklahoma,OLB,Kendal Daniels,Oklahoma,LB,504000,active,999,False,5,1.0
251,Bryan Thomas Jr.,South Carolina,EDGE,Bryan Thomas Jr.,South Carolina,LB,,active,999,False,4,1.0
252,Malik Benson,Oregon,WR,Malik Benson,Oregon,WR,604800,active,999,False,1,1.05
254,Carver Willis,Washington,OT,Carver Willis,Washington,OL,112500,active,999,False,,1.0
259,Nick Barrett,South Carolina,DL3T,Nick Barrett,South Carolina,DL,,active,999,False,4,1.0
261,Jadon Canady,Oregon,CBN,Jadon Canady,Oregon,DB,172800,active,999,False,5,1.0
270,Max Bredeson,Michigan,FB,Max Bredeson,Michigan,TE,15840,active,999,False,,1.0
273,Robert Spears-Jennings,Oklahoma,S,Robert Spears-Jennings,Oklahoma,DB,432000,active,999,False,5,1.0
283,Alex Harkey,Oregon,OG,Alex Harkey,Oregon,OL,112500,active,999,False,,1.0
286,Tristan Leigh,Clemson,OT,Tristan Leigh,Clemson,OL,471226,active,999,False,5,1.0
292,Cole Brevard,Texas,DL1T,Cole Brevard,Texas,DL,176463,active,999,False,5,1.0
296,T.J. Guy,Michigan,EDGE,TJ Guy,Michigan,EDGE,872096,active,999,False,5,1.05
299,Damonic Williams,Oklahoma,DL3T,Damonic Williams,Oklahoma,DL,207360,departed_draft,999,False,5,1.0
302,Febechi Nwaiwu,Oklahoma,OG,Febechi Nwaiwu,Oklahoma,OL,112500,active,999,False,,1.0
303,Jack Pyburn,LSU,EDGE,Jack Pyburn,LSU,DE,1008000,active,999,False,5,1.0
311,Bauer Sharp,LSU,TE,Bauer Sharp,LSU,TE,138600,active,999,False,,1.05
313,Anterio Thompson,Washington,DL3T,Anterio Thompson,Washington,DL,,active,999,False,4,1.0
314,Barion Brown,LSU,WR,Barion Brown,LSU,WR,576000,active,999,False,5,1.05
317,Joey Aguilar,Tennessee,QB,Joey Aguilar,Tennessee,QB,,active,999,False,4,1.05
